Site ,Region,Plot#,Lichen,Moss,Road/Trail,Rock,Mineral_Soil,Wood,Litter/Duff,LitterDepth_NWcorner(cm),LitterDepth_SEcorner(cm)
MS_07-a,MA,619,0,0,0,0,0,2,8,3.0,4.0
MS_07-a,MA,617,0,1,0,0,0,0,8,5.0,4.5
MS_07-a,MA,615,0,2,0,0,0,0,8,5.0,6.5
MS_07-a,MA,613,0,0,0,0,0,0,8,4.0,8.5
TNCO_Zito2,NH,1064,0,0,0,0,0,2,8,5.0,5.0
TNCO_Zito2,NH,1062,0,8,0,0,0,0,4,3.5,1.5
TNCO_Zito2,NH,1060,0,0,0,0,0,0,8,5.5,1.5
TNCO_Zito2,NH,1058,0,0,0,0,0,2,8,4.0,4.0
TNCO_Zito2,NH,1056,0,0,0,0,0,2,8,6.5,5.0
TNCO_Zito2,NH,1054,0,0,0,0,0,2,8,5.5,5.5
TNCO_Zito2,NH,1052,0,0,0,0,0,2,8,9.0,8.0
TNCO_Zito2,NH,1050,0,0,0,0,0,2,8,14.5,10.0
TNCO_Zito2,NH,1048,0,2,0,0,0,2,8,4.0,2.0
TNCO_Zito2,NH,986,0,1,0,0,0,0,8,5.0,5.5
TNCO_Zito2,NH,984,0,2,0,0,0,0,8,6.5,7.0
TNCO_Zito2,NH,982,0,1,0,0,0,0,8,3.0,4.0
TNCO_WB10,NH,935,0,2,0,0,0,0,8,5.0,5.0
TNCO_WB10,NH,933,0,0,0,0,0,3,8,5.5,9.0
TNCO_WB10,NH,931,0,2,0,0,0,0,8,4.0,6.0
TNCO_WB10,NH,929,0,2,0,0,0,2,8,3.0,6.0
TNCO_WB10,NH,927,0,1,0,0,0,0,8,5.0,5.0
TNCO_WB10,NH,925,0,2,0,0,0,2,8,2.5,3.5
TNCO_WB10,NH,923,0,1,0,0,0,2,8,5.0,6.5
TNCO_WB10,NH,921,0,2,0,0,0,2,8,8.0,7.0
TNCO_WB10,NH,919,0,0,0,0,0,2,8,12.0,9.0
TNCO_WB10,NH,917,1,1,0,0,0,0,8,7.0,4.0
TNCO_WB10,NH,915,0,3,0,0,0,2,8,5.5,8.0
TNCO_WB10,NH,913,0,1,0,0,0,0,8,6.0,7.0
TNCW_14,ME,1096,0,0,0,0,0,2,8,4.5,3.0
TNCW_14,ME,1094,0,2,0,0,0,6,5,2.5,2.0
TNCW_14,ME,1092,0,0,0,0,0,0,8,4.0,4.5
TNCW_14,ME,1090,0,1,0,0,0,2,8,0.5,2.5
TNCW_14,ME,1088,0,0,0,0,0,2,8,3.0,4.0
TNCW_14,ME,1086,0,0,0,0,0,2,8,2.0,8.0
TNCW_14,ME,1083,0,3,0,0,0,0,8,1.5,3.0
TNCW_14,ME,1081,0,0,0,0,0,2,8,3.0,4.5
TNCW_14,ME,1079,0,0,0,0,0,3,8,1.5,2.0
TNCW_14,ME,1077,0,0,0,0,0,2,8,2.5,2.5
TNCW_14,ME,1075,1,1,0,0,0,0,8,2.0,4.0
TNCW_12,ME,1119,0,1,0,0,0,1,8,3.0,4.0
TNCW_12,ME,1117,0,0,0,0,0,2,8,1.0,3.0
TNCW_12,ME,1115,0,0,0,0,0,2,8,3.0,5.0
TNCW_12,ME,1113,0,1,0,0,0,3,8,5.0,11.5
TNCW_12,ME,1111,0,0,0,0,0,3,8,1.5,2.5
TNCW_12,ME,1109,0,0,0,0,0,3,8,3.0,3.5
TNCW_12,ME,1107,0,0,0,0,0,2,8,1.0,2.5
TNCW_12,ME,1105,0,2,0,0,0,0,8,3.0,3.0
TNCW_12,ME,1103,0,0,0,0,0,2,8,2.5,5.5
TNCW_12,ME,1101,0,5,0,0,0,2,7,3.5,3.0
TNCW_12,ME,1099,0,0,0,0,0,3,8,3.5,3.0
